Edad	Dq	thinning	varname	zone	cal
13	8.33310514010667	M4	Dq	0	7
14	9.20844491176243	M4	Dq	0	7
15	10.0477620392774	M4	Dq	0	7
15	11.5040365586544	M4	Dq	0	7
16	12.5074651378182	M4	Dq	0	7
17	13.4719279008044	M4	Dq	0	7
18	14.3974657029764	M4	Dq	0	7
19	15.2847434203774	M4	Dq	0	7
20	16.1348335275918	M4	Dq	0	7
21	16.9490636864436	M4	Dq	0	7
22	17.7289097915348	M4	Dq	0	7
23	18.4759213275774	M4	Dq	0	7
24	19.191669722474	M4	Dq	0	7
25	19.8777130814015	M4	Dq	0	7
25	0	M4	Dq	0	7
1	0.00102862063694314	M4	Dq	1	11
2	0.134540582809544	M4	Dq	1	11
3	0.756517135054094	M4	Dq	1	11
4	1.85418484923069	M4	Dq	1	11
5	3.22296249968606	M4	Dq	1	11
6	4.69717131396506	M4	Dq	1	11
7	6.17731724931563	M4	Dq	1	11
8	7.61032268711672	M4	Dq	1	11
9	8.97063251812206	M4	Dq	1	11
10	10.248085110491	M4	Dq	1	11
11	11.4408493002585	M4	Dq	1	11
12	12.5514364165828	M4	Dq	1	11
13	13.5844738761276	M4	Dq	1	11
14	14.5454724246432	M4	Dq	1	11
15	15.4401531620707	M4	Dq	1	11
15	18.1005130156184	M4	Dq	1	11
16	19.1864375063198	M4	Dq	1	11
17	20.2055268618294	M4	Dq	1	11
18	21.1628594871267	M4	Dq	1	11
19	22.0632301515465	M4	Dq	1	11
20	22.9111002654465	M4	Dq	1	11
21	23.7105829232099	M4	Dq	1	11
22	24.4654480115323	M4	Dq	1	11
23	25.1791383927444	M4	Dq	1	11
24	25.8547916840387	M4	Dq	1	11
25	26.4952643245347	M4	Dq	1	11
25	0	M4	Dq	1	11
1	0.0144664998692798	M4	Dq	1	16
2	0.576755417227221	M4	Dq	1	16
3	2.12880399138057	M4	Dq	1	16
4	4.1933458409596	M4	Dq	1	16
5	6.3698971733194	M4	Dq	1	16
6	8.46909241095451	M4	Dq	1	16
7	10.4183817032848	M4	Dq	1	16
8	12.1987914915794	M4	Dq	1	16
9	13.8142249242213	M4	Dq	1	16
10	15.277465027124	M4	Dq	1	16
11	16.6039223161287	M4	Dq	1	16
12	17.8089208458138	M4	Dq	1	16
13	18.9066043201998	M4	Dq	1	16
14	19.9095816552038	M4	Dq	1	16
15	20.8289024833202	M4	Dq	1	16
15	23.25756405375	M4	Dq	1	16
16	24.387821673486	M4	Dq	1	16
17	25.4377558709157	M4	Dq	1	16
18	26.4151413872305	M4	Dq	1	16
19	27.3269070639342	M4	Dq	1	16
20	28.1792125830549	M4	Dq	1	16
21	28.9775296014604	M4	Dq	1	16
22	29.7267202040192	M4	Dq	1	16
23	30.4311093705682	M4	Dq	1	16
24	31.0945501961489	M4	Dq	1	16
25	31.7204816860238	M4	Dq	1	16
25	0	M4	Dq	1	16
1	0.0944056763162777	M4	Dq	1	21
2	1.62180832603249	M4	Dq	1	21
3	4.44214247906491	M4	Dq	1	21
4	7.49484838208294	M4	Dq	1	21
5	10.3480541562389	M4	Dq	1	21
6	12.8915666740202	M4	Dq	1	21
7	15.1258231664432	M4	Dq	1	21
8	17.0838020102946	M4	Dq	1	21
9	18.8042910288749	M4	Dq	1	21
10	20.3232807876279	M4	Dq	1	21
11	21.6717223395304	M4	Dq	1	21
