Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
24	20.8730919434022	M2	AB	1	7
25	22.2327867089765	M2	AB	1	7
26	23.5722351000228	M2	AB	1	7
27	24.8898440230912	M2	AB	1	7
28	26.1844230105527	M2	AB	1	7
29	27.4551151196134	M2	AB	1	7
30	28.7013389466801	M2	AB	1	7
30	16.9504631624437	M2	AB	1	7
31	17.8532001859806	M2	AB	1	7
32	18.746269027452	M2	AB	1	7
33	19.6288654478261	M2	AB	1	7
34	20.5003366608087	M2	AB	1	7
35	21.3601608633305	M2	AB	1	7
36	22.2079293525406	M2	AB	1	7
37	23.0433309272599	M2	AB	1	7
38	23.866138298468	M2	AB	1	7
39	24.676196260941	M2	AB	1	7
40	25.4734114050498	M2	AB	1	7
40	0	M2	AB	1	7
1	4.91310336574817e-09	M4	AB	0	11
2	0.000373299910914116	M4	AB	0	11
3	0.0200178250697039	M4	AB	0	11
4	0.158193938132038	M4	AB	0	11
5	0.566038437029012	M4	AB	0	11
6	1.34912026598192	M4	AB	0	11
7	2.53729391705867	M4	AB	0	11
8	4.10482140089226	M4	AB	0	11
9	5.99767501543377	M4	AB	0	11
10	8.15286646805355	M4	AB	0	11
11	10.5091854532572	M4	AB	0	11
12	13.0121198676134	M4	AB	0	11
13	15.6154658309119	M4	AB	0	11
14	18.2812608301722	M4	AB	0	11
15	20.9789739713237	M4	AB	0	11
15	15.7393791944849	M4	AB	0	11
16	17.990392101963	M4	AB	0	11
17	20.258454970401	M4	AB	0	11
18	22.5284214714512	M4	AB	0	11
19	24.7882029020762	M4	AB	0	11
20	27.0282545213172	M4	AB	0	11
21	29.2411290413774	M4	AB	0	11
22	31.4210972166947	M4	AB	0	11
23	33.5638301164931	M4	AB	0	11
24	35.666135593212	M4	AB	0	11
25	37.7257410954228	M4	AB	0	11
25	0	M4	AB	0	11
1	1.06659567453464e-06	M4	AB	0	16
2	0.00722928302361347	M4	AB	0	16
3	0.164646105423308	M4	AB	0	16
4	0.834173139638604	M4	AB	0	16
5	2.26906652228941	M4	AB	0	16
6	4.48676366085538	M4	AB	0	16
7	7.36648167883113	M4	AB	0	16
8	10.7461799190635	M4	AB	0	16
9	14.4719176424108	M4	AB	0	16
10	18.4153979118318	M4	AB	0	16
11	22.4764869531953	M4	AB	0	16
12	26.5800067736978	M4	AB	0	16
13	30.6710289801883	M4	AB	0	16
14	34.7103468476556	M4	AB	0	16
15	38.6706640728866	M4	AB	0	16
15	26.7255287040884	M4	AB	0	16
16	29.8608877748589	M4	AB	0	16
17	32.9530398649868	M4	AB	0	16
18	35.9892443465103	M4	AB	0	16
19	38.9604658975637	M4	AB	0	16
20	41.860534953559	M4	AB	0	16
21	44.6854865209655	M4	AB	0	16
22	47.4330425843564	M4	AB	0	16
23	50.1022084128286	M4	AB	0	16
24	52.6929584228056	M4	AB	0	16
25	55.2059921009176	M4	AB	0	16
25	0	M4	AB	0	16
1	4.85279382699152e-05	M4	AB	0	21
2	0.0593354930497806	M4	AB	0	21
3	0.736601975328929	M4	AB	0	21
4	2.72348843528538	M4	AB	0	21
5	6.10020775020408	M4	AB	0	21
6	10.5669138257488	M4	AB	0	21
7	15.756918965219	M4	AB	0	21
8	21.3612832055169	M4	AB	0	21
9	27.1520310887576	M4	AB	0	21
10	32.9715615470483	M4	AB	0	21
11	38.715462958194	M4	AB	0	21
12	44.3172161847372	M4	AB	0	21
13	49.73651512946	M4	AB	0	21
14	54.9508792410095	M4	AB	0	21
15	59.9497956412718	M4	AB	0	21
15	42.428779583057	M4	AB	0	21
16	46.4842620863093	M4	AB	0	21
17	50.410502707333	M4	AB	0	21
18	54.2026093001524	M4	AB	0	21
19	57.8590103843784	M4	AB	0	21
20	61.3804704317547	M4	AB	0	21
21	64.7693707426113	M4	AB	0	21
22	68.0291852422151	M4	AB	0	21
23	71.1640991698732	M4	AB	0	21
24	74.1787325425228	M4	AB	0	21
25	77.0779405084694	M4	AB	0	21
