Edad	Dm	thinning	varname	zone	cal
16	11.7676369881676	M2	Dm	1	7
17	12.5395004062811	M2	Dm	1	7
18	13.2724383567769	M2	Dm	1	7
19	13.9684271286849	M2	Dm	1	7
20	14.6295202803368	M2	Dm	1	7
21	15.2577692573519	M2	Dm	1	7
22	15.8551736971102	M2	Dm	1	7
22	17.6844090445793	M2	Dm	1	7
23	18.3561969963218	M2	Dm	1	7
24	18.9972341286194	M2	Dm	1	7
25	19.6093343777715	M2	Dm	1	7
26	20.1942166199828	M2	Dm	1	7
27	20.7535006835475	M2	Dm	1	7
28	21.2887070596701	M2	Dm	1	7
29	21.801259023231	M2	Dm	1	7
30	22.2924862715094	M2	Dm	1	7
30	26.2656496315568	M2	Dm	1	7
31	26.9606537607073	M2	Dm	1	7
32	27.6311228176549	M2	Dm	1	7
33	28.2782062170887	M2	Dm	1	7
34	28.9030007199149	M2	Dm	1	7
35	29.5065503150853	M2	Dm	1	7
36	30.0898469244745	M2	Dm	1	7
37	30.6538316844671	M2	Dm	1	7
38	31.1993966199004	M2	Dm	1	7
39	31.7273865727879	M2	Dm	1	7
40	32.2386012835858	M2	Dm	1	7
40	0	M2	Dm	1	7
1	0.000212851956353796	M4	Dm	0	11
2	0.0589991775632258	M4	Dm	0	11
3	0.434744299561073	M4	Dm	0	11
4	1.22689697959588	M4	Dm	0	11
5	2.3266231924007	M4	Dm	0	11
6	3.5980559411258	M4	Dm	0	11
7	4.94024730670136	M4	Dm	0	11
8	6.28907220473662	M4	Dm	0	11
9	7.60688868722298	M4	Dm	0	11
10	8.87309701925445	M4	Dm	0	11
11	10.077579365952	M4	Dm	0	11
12	11.216504932844	M4	Dm	0	11
13	12.2897290334281	M4	Dm	0	11
14	13.2991999385803	M4	Dm	0	11
15	14.2479888655713	M4	Dm	0	11
15	16.5498266495447	M4	Dm	0	11
16	17.6970406925878	M4	Dm	0	11
17	18.7822224907166	M4	Dm	0	11
