"","RegimenClara","Zona","Calidad","turno","RentaCap2pcEsc1","RentaCap2pcEsc2","RentaCap4pcEsc1","RentaCap4pcEsc2","VES.Cap2pcEsc1","VES.Cap2pcEsc2","VES.Cap4pcEsc1","VES.Cap4pcEsc2"
"32","MG2","zona costera","11",35,8183.72896645281,12501.7995672319,6722.47614831076,11204.0999609695,8184.63293736951,12503.1805102301,2281.83064446394,3803.04192540746
"33","MG2","zona costera","16",35,19546.9535883804,28538.3346055553,18511.4538875877,27963.0129379771,19549.1127358334,28541.486936797,6283.3994234242,9491.57102616888
"34","MG2","zona costera","21",35,35199.3484081535,50473.3333218529,34872.284941539,51018.7295709802,35203.2365118991,50478.908582908,11836.8063592278,17317.4434551076
"35","MG2","zona costera","26",35,52990.0203579807,75399.1319269637,53767.2188444812,77609.9576992345,52995.8736111219,75407.4604802047,18250.3715774084,26343.3853667393
"36","MG2","zona interior","7",35,1541.18027354631,3057.55215628098,-2.14035657449119,1562.46413628585,1541.35051160654,3057.88989207806,-0.726507779872319,530.351981679968
"37","MG2","zona interior","11",35,8842.93036120195,13397.9436825343,7381.50112370377,12098.8791300997,8843.90714719984,13399.423613197,2505.52550795509,4106.75955609957
"38","MG2","zona interior","16",35,21947.0905599611,31845.3111603879,20935.3236435273,31304.4513866448,21949.514825434,31848.8287787303,7106.14094980092,10625.7657009504
"39","MG2","zona interior","21",35,40919.9565238122,58379.9335573435,40679.3168633419,59059.0228212647,40924.4765232845,58386.3821778039,13807.9049693553,20046.5847899692
"40","MG2","zona interior","26",35,63574.4558076595,90073.924757627,64549.8456546294,92599.9361560739,63581.4782126452,90083.8742816971,21910.3515818591,31431.479611784
"41","MG2rn","zona costera","7",35,2867.22922818221,4374.47677996922,2749.80012522549,4307.70484778224,2867.54594099668,4374.95998265117,933.373068711744,1462.17743464145
"42","MG2rn","zona costera","11",35,9583.28368211615,13901.3542828952,9547.34049658361,14028.9643092424,9584.34224719945,13902.88982006,3240.68299204161,4761.89427298513
"43","MG2rn","zona costera","16",35,20946.5083040438,29937.8893212187,21336.3182358605,30787.8772862499,20948.8220456634,29941.196246627,7242.25177100186,10450.4233737466
"44","MG2rn","zona costera","21",35,36598.9031238168,51872.8880375163,37697.1492898118,53843.593919253,36602.9458217291,51878.617892738,12795.6587068055,18276.2958026853
"45","MG2rn","zona costera","26",35,54389.5750736441,76798.6866426271,56592.0831927541,80434.8220475074,54395.5829209518,76807.1697900346,19209.223924986,27302.2377143169
"46","MG2rn","zona interior","7",35,2940.73498920965,4457.10687194432,2822.72399169836,4387.32848455869,2941.05982143649,4457.59920190801,958.125839797795,1489.20432925763
"47","MG2rn","zona interior","11",35,10242.4850768653,14797.4983981976,10206.3654719766,14923.7434783725,10243.6164570298,14799.1329230269,3464.37785553276,5065.61190367723
"48","MG2rn","zona interior","16",35,23346.6452756245,33244.8658760512,23760.1879918001,34129.3157349177,23349.2241352639,33248.5380885603,8064.99329737859,11584.6180485281
"49","MG2rn","zona interior","21",35,42319.5112394755,59779.4882730069,43504.1812116147,61883.8871695375,42324.1858331145,59786.0914876338,14766.7573169329,21005.4371375468
"50","MG2rn","zona interior","26",35,64974.0105233229,91473.4794732904,67374.7100029023,95424.8005043467,64981.1875224751,91483.583591527,22869.2039294368,32390.3319593617
