"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"28","M2",22,"zona interior","11",700,0,25.636,25.636,0,10.56,0,20,12,24,18,40,270.71616,270.71616,307.632,461.448,36.91584,190.73184,8,-1104.05906134098,-1067.14322134098,-1408.71269382056,-1371.79685382057,-1789.29062294763,-1752.37478294763,-1079.65808307223,-888.926243072226,-1382.33094010559,-1191.59910010559,-1760.78880390389,-1570.05696390389
"44","M2",30,"zona interior","11",300,54.072,108.698,54.626,0,10.56,0,30.72,12,40.12,18,40,1147.85088,1147.85088,2316.60384,3152.63664,1168.75296,2004.78576,8,-1250.32836615714,-81.5754061571354,-1737.75121216155,-568.998252161553,-2398.24589265279,-1229.49293265279,-1041.51877171467,963.266988285326,-1509.48208902216,495.303670977836,-2148.73136817213,-143.945608172134
"54","M2",40,"zona interior","11",0,246.758,271.774,25.016,0,10.56,0,44.5,12,57.75,18,40,2869.93344,2869.93344,11280.923,14700.5625,8410.98956,11830.62906,10,-99.439964914354,8311.54959508564,-764.686070898089,7646.30348910191,-1819.94988690678,6591.03967309322,1174.21708368497,13004.846143685,665.646716176385,12496.2757761764,-213.074663835897,11617.5543961641
"6","M2",1,"zona interior","16",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"32","M2",3,"zona interior","16",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"19","M2",14,"zona interior","16",1000,0,12.668,12.668,0,10.56,0,20,12,24,18,40,133.77408,133.77408,152.016,228.024,18.24192,94.24992,11,-947.302018079718,-929.060098079718,-1117.04904899721,-1098.80712899721,-1312.41537208973,-1294.17345208973,-947.302018079718,-853.052098079718,-1117.04904899721,-1022.79912899721,-1312.41537208973,-1218.16545208973
"29","M2",22,"zona interior","16",700,10.595,61.264,50.669,0,10.56,0,20,12,24,18,40,646.94784,646.94784,819.928,1166.322,172.98016,519.37416,8,-1088.54197942999,-915.561819429987,-1391.93599622909,-1218.95583622909,-1771.16573238616,-1598.18557238616,-999.486493198767,-480.112333198766,-1295.65133588298,-776.277175882983,-1667.14353600295,-1147.76937600295
"45","M2",30,"zona interior","16",300,179.214,239.833,60.619,0,10.56,0,30.72,12,40.12,18,40,2532.63648,2532.63648,6232.88208,8281.20768,3700.2456,5748.5712,8,-1072.72659462265,2627.51900537735,-1544.13678386784,2156.10881613216,-2187.22731117193,1513.01828882807,-562.52811912722,5186.04308087278,-983.364701272636,4765.20649872737,-1570.80164500062,4177.76955499938
"59","M2",40,"zona interior","16",0,509.386,534.93,25.5439999999999,0,10.56,0,44.5,12,57.75,18,40,5648.8608,5648.8608,22974.205,29876.8335,17325.3442,24227.9727,10,3202.93100598517,20528.2752059852,2897.62995364828,20222.9741536483,2239.63667501468,19564.9808750147,6321.75757743634,30549.7302774363,6404.03906459676,30632.0117645968,6184.11950749369,30412.0922074937
"10","M2",1,"zona interior","21",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"33","M2",3,"zona interior","21",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"12","M2",14,"zona interior","21",1000,0,31.611,31.611,0,10.56,0,20,12,24,18,40,333.81216,333.81216,379.332,568.998,45.51984,235.18584,11,-947.302018079718,-901.782178079718,-1117.04904899721,-1071.52920899721,-1312.41537208973,-1266.89553208973,-947.302018079718,-712.116178079718,-1117.04904899721,-881.863208997213,-1312.41537208973,-1077.22953208973
"26","M2",22,"zona interior","21",700,62.98,122.773,59.793,0,10.56,0,20,12,24,18,40,1296.48288,1296.48288,1977.116,2587.794,680.63312,1291.31112,8,-1056.58154856776,-375.948428567757,-1357.38114329061,-676.748023290608,-1733.83401531473,-1053.20089531473,-834.357600410582,456.953519589418,-1117.11792903414,174.193190965855,-1474.26299780056,-182.951877800561
