"","Edad","RegimenClara","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","variable","Renta"
"145",35,"MG2","zona costera","16",0,436.698,483.235,"renta.act.Esc1.Int1",937.743228380427
"146",1,"MG2","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",0
"147",3,"MG2","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"148",17,"MG2","zona costera","21",1000,7.705,51.53,"renta.act.Esc1.Int1",-1005.28448000234
"149",25,"MG2","zona costera","21",450,215.99,312.127,"renta.act.Esc1.Int1",-1018.68903194536
"150",35,"MG2","zona costera","21",0,730.716,775.584,"renta.act.Esc1.Int1",4108.53712815346
"151",1,"MG2","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",0
"152",3,"MG2","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"153",17,"MG2","zona costera","26",1000,36.405,90.373,"renta.act.Esc1.Int1",-1005.28448000234
"154",25,"MG2","zona costera","26",450,397.742,491.689,"renta.act.Esc1.Int1",-684.140535983011
"155",35,"MG2","zona costera","26",0,1037.528,1081.889,"renta.act.Esc1.Int1",8872.70163798072
"156",1,"MG2","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",0
"157",3,"MG2","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"158",17,"MG2","zona interior","7",1000,0,0.868,"renta.act.Esc1.Int1",-1005.28448000234
"159",25,"MG2","zona interior","7",450,0,28.785,"renta.act.Esc1.Int1",-1176.38651107723
"160",35,"MG2","zona interior","7",0,67.455,109.484,"renta.act.Esc1.Int1",-1383.48078645369
"161",1,"MG2","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",0
"162",3,"MG2","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"163",17,"MG2","zona interior","11",1000,0,6.488,"renta.act.Esc1.Int1",-1005.28448000234
"164",25,"MG2","zona interior","11",450,12.019,81.37,"renta.act.Esc1.Int1",-1166.90450603865
"165",35,"MG2","zona interior","11",0,230.557,276.294,"renta.act.Esc1.Int1",-1012.38113879805
"166",1,"MG2","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",0
"167",3,"MG2","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"168",17,"MG2","zona interior","16",1000,0,23.634,"renta.act.Esc1.Int1",-1005.28448000234
"169",25,"MG2","zona interior","16",450,94.854,188.183,"renta.act.Esc1.Int1",-1137.97595472345
"170",35,"MG2","zona interior","16",0,490.49,538.21,"renta.act.Esc1.Int1",1052.16835996113
"171",1,"MG2","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",0
"172",3,"MG2","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"173",17,"MG2","zona interior","21",1000,6.237,48.882,"renta.act.Esc1.Int1",-1005.28448000234
"174",25,"MG2","zona interior","21",450,234.188,336.059,"renta.act.Esc1.Int1",-1036.91667753474
"175",35,"MG2","zona interior","21",0,855.368,902.647,"renta.act.Esc1.Int1",4532.94948381215
"176",1,"MG2","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",0
"177",3,"MG2","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"178",17,"MG2","zona interior","26",1000,26.863,82.701,"renta.act.Esc1.Int1",-1005.28448000234
"179",25,"MG2","zona interior","26",450,445.921,547.05,"renta.act.Esc1.Int1",-786.524444401511
"180",35,"MG2","zona interior","26",0,1262.089,1310.595,"renta.act.Esc1.Int1",9916.30822765951
"181",0,"MG2rn","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",0
"182",5,"MG2rn","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",0
"183",7,"MG2rn","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"184",17,"MG2rn","zona costera","7",1000,0,0.902,"renta.act.Esc1.Int1",-25.3731250533069
"185",25,"MG2rn","zona costera","7",450,0,30.254,"renta.act.Esc1.Int1",-28.2068150572544
"186",35,"MG2rn","zona costera","7",0,65.614,109.042,"renta.act.Esc1.Int1",18.7224681822136
"187",0,"MG2rn","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",0
"188",5,"MG2rn","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",0
"189",7,"MG2rn","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"190",17,"MG2rn","zona costera","11",1000,0,7.069,"renta.act.Esc1.Int1",-25.3731250533069
"191",25,"MG2rn","zona costera","11",450,11.995,80.814,"renta.act.Esc1.Int1",-17.8019173574514
"192",35,"MG2rn","zona costera","11",0,215.021,261.294,"renta.act.Esc1.Int1",386.858902116145
"193",0,"MG2rn","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",0
"194",5,"MG2rn","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",0
"195",7,"MG2rn","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"196",17,"MG2rn","zona costera","16",1000,0,25.517,"renta.act.Esc1.Int1",-25.3731250533069
"197",25,"MG2rn","zona costera","16",450,90.188,179.893,"renta.act.Esc1.Int1",13.3233546979995
"198",35,"MG2rn","zona costera","16",0,436.698,483.235,"renta.act.Esc1.Int1",2337.29794404377
"199",0,"MG2rn","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",0
"200",5,"MG2rn","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",0
"201",7,"MG2rn","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"202",17,"MG2rn","zona costera","21",1000,7.705,51.53,"renta.act.Esc1.Int1",-25.3731250533069
"203",25,"MG2rn","zona costera","21",450,215.99,312.127,"renta.act.Esc1.Int1",129.433299631316
"204",35,"MG2rn","zona costera","21",0,730.716,775.584,"renta.act.Esc1.Int1",5508.0918438168
"205",0,"MG2rn","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",0
"206",5,"MG2rn","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",0
"207",7,"MG2rn","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"208",17,"MG2rn","zona costera","26",1000,36.405,90.373,"renta.act.Esc1.Int1",-25.3731250533069
"209",25,"MG2rn","zona costera","26",450,397.742,491.689,"renta.act.Esc1.Int1",463.981795593667
"210",35,"MG2rn","zona costera","26",0,1037.528,1081.889,"renta.act.Esc1.Int1",10272.2563536441
"211",0,"MG2rn","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",0
"212",5,"MG2rn","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",0
"213",7,"MG2rn","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"214",17,"MG2rn","zona interior","7",1000,0,0.868,"renta.act.Esc1.Int1",-25.3731250533069
"215",25,"MG2rn","zona interior","7",450,0,28.785,"renta.act.Esc1.Int1",-28.2641795005483
"216",35,"MG2rn","zona interior","7",0,67.455,109.484,"renta.act.Esc1.Int1",16.0739292096522
"217",0,"MG2rn","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",0
"218",5,"MG2rn","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",0
"219",7,"MG2rn","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"220",17,"MG2rn","zona interior","11",1000,0,6.488,"renta.act.Esc1.Int1",-25.3731250533069
"221",25,"MG2rn","zona interior","11",450,12.019,81.37,"renta.act.Esc1.Int1",-18.7821744619731
"222",35,"MG2rn","zona interior","11",0,230.557,276.294,"renta.act.Esc1.Int1",387.173576865294
"223",0,"MG2rn","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",0
